"x","y"
-3704857.35097063,-1384952.15192635
-3694857.35097063,-1384952.15192635
-3694857.35097063,-1354952.15192635
-3694857.35097063,-1294952.15192635
-3684857.35097063,-1354952.15192635
-3704857.35097063,-1414952.15192635
-3694857.35097063,-1324952.15192635
-3704857.35097063,-1404952.15192635
-3704857.35097063,-1394952.15192635
-3834857.35097063,-1774952.15192635
-3944857.35097063,-2504952.15192635
-3854857.35097063,-2264952.15192635
-3834857.35097063,-1754952.15192635
-3814857.35097063,-2024952.15192635
-3924857.35097063,-2304952.15192635
-3914857.35097063,-2304952.15192635
-5324857.35097063,-2914952.15192635
